monthly_income,time_of_month,savings,guests
7314,19,high,0
3153,17,medium,0
8267,23,high,0
1373,30,high,0
8569,28,low,0
6297,26,medium,0
4041,17,medium,0
8046,3,high,0
4687,13,low,0
2664,31,low,0
1066,7,medium,0
2621,15,medium,0
9822,28,low,0
6643,20,low,0
3360,14,high,0
1356,13,low,0
9957,24,high,0
6188,18,medium,0
7326,26,low,0
5808,2,low,0
4025,5,medium,0
7805,14,low,0
8425,6,medium,0
5023,29,high,1
4704,3,high,0
9678,5,high,0
6484,11,low,1
6894,18,low,0
7357,31,medium,1
5491,4,high,0
7370,13,low,0
5081,13,medium,1
6251,4,low,0
6750,4,medium,0
6250,17,medium,0
5433,17,high,0
3625,24,high,0
7448,15,low,0
5681,29,high,0
4158,10,high,0
8079,31,medium,0
8012,29,medium,0
9729,14,low,0
2336,2,medium,0
8029,22,low,0
8659,31,low,0
2013,1,high,0
7595,5,medium,0
9000,27,low,0
6796,9,low,1
6261,13,low,1
9247,18,low,0
5617,1,medium,0
9212,25,high,0
3615,14,low,0
9001,19,medium,0
9694,6,low,0
3737,12,medium,0
8540,14,low,1
6025,15,medium,0
8438,26,medium,0
3847,9,low,0
4748,16,high,0
8948,8,low,0
5720,7,low,0
5048,27,low,1
6127,21,medium,0
1377,14,high,0
6339,4,low,0
3797,15,medium,0
4663,27,low,0
8343,22,low,1
1100,30,medium,0
9929,4,low,1
6500,6,high,0
2072,29,low,0
1870,5,low,0
8822,23,low,0
6239,6,high,0
1549,22,high,0
1692,3,medium,0
2889,4,medium,0
5732,21,high,0
7540,1,low,0
2031,27,high,0
7650,21,medium,0
2832,15,low,0
3861,21,high,0
8891,2,high,0
6006,22,low,0
2633,27,medium,1
7353,9,medium,0
7887,29,high,0
1383,1,low,0
8488,19,low,0
2220,22,low,1
7939,12,high,0
9168,22,low,0
6853,14,high,0
8779,29,low,1
5612,1,high,0
4797,5,low,0
8635,3,high,0
8731,19,high,0
1034,6,low,0
1867,18,low,0
4273,4,medium,0
1391,12,low,0
8066,16,high,0
8965,24,low,0
2690,19,medium,0
4875,28,medium,0
3581,26,medium,0
8812,10,high,0
9868,7,low,0
6562,25,medium,0
1506,31,medium,1
3070,6,medium,1
4904,13,high,1
9588,20,low,0
1668,15,low,0
5812,12,medium,0
2639,18,high,0
6919,29,medium,0
6240,7,medium,0
2750,6,low,0
8418,18,medium,0
5727,22,high,0
1560,17,low,1
8435,27,low,0
6424,15,medium,0
4472,14,high,0
8275,19,medium,0
5946,29,medium,0
1302,6,low,1
2127,13,low,0
9970,26,high,0
3295,26,medium,0
6532,14,low,0
3953,23,medium,0
9447,23,medium,0
1559,4,high,0
3001,14,medium,0
9466,14,low,0
