target,monthly_income,time_of_month,savings,guests
1.54,3915,21,medium,0
2.95,3254,10,high,0
3.87,5079,12,medium,0
1.86,4046,4,medium,0
5.0,8286,2,medium,0
4.01,6520,6,medium,0
2.74,2032,12,medium,0
3.16,1740,28,low,0
3.24,2982,31,medium,0
3.49,3459,12,medium,0
2.92,3672,26,medium,0
2.79,3718,30,medium,0
2.39,4792,18,low,0
4.31,8687,1,high,0
4.49,4185,13,high,0
3.37,9397,22,low,0
4.65,4503,15,high,0
3.17,3004,30,high,0
4.29,4709,26,high,0
3.19,3194,18,low,0
2.04,1377,8,low,0
3.42,6482,24,high,1
4.02,1041,18,high,0
3.73,9169,19,high,0
3.63,5199,26,medium,0
3.08,4898,7,low,0
3.12,3000,9,high,1
2.48,4182,15,medium,0
3.62,7820,17,medium,0
3.32,9041,2,medium,0
1.73,3587,26,low,0
3.21,9486,17,medium,0
3.69,1147,24,low,0
4.86,9466,23,high,0
4.12,2159,8,medium,0
3.77,8012,21,medium,0
2.16,4693,6,high,0
4.33,9382,1,low,0
5.0,8947,31,medium,0
4.61,8659,3,medium,0
4.48,1835,14,high,0
2.89,8548,4,low,1
4.13,8617,16,low,1
4.38,9579,16,high,0
4.99,7747,28,high,0
4.24,7043,13,high,0
4.14,9993,31,medium,0
2.11,5949,14,medium,0
2.81,5487,15,medium,0
3.6,9720,10,medium,0
3.97,8262,2,low,0
3.71,5110,13,low,0
3.01,8967,9,high,0
3.18,3313,9,low,0
5.0,2574,5,medium,0
2.58,1144,23,medium,0
4.31,2413,9,low,0
5.0,5514,3,high,0
4.76,5781,6,medium,0
3.92,4307,4,medium,0
2.53,7888,7,low,0
2.66,4104,15,low,0
4.55,9524,6,low,0
4.73,4973,16,medium,0
3.19,7542,21,low,0
5.0,7319,15,medium,0
2.37,9167,4,high,0
3.69,5624,2,high,0
3.41,6594,16,low,0
3.27,1044,7,medium,0
3.47,5734,3,low,1
2.35,7821,21,low,0
3.44,8627,9,medium,0
2.82,3949,15,low,0
5.0,9372,10,high,0
3.6,8868,29,high,0
3.57,9408,6,high,0
2.87,1632,29,low,1
5.0,2862,14,medium,0
2.73,3595,19,high,0
2.32,7420,15,low,0
3.34,7321,19,low,0
4.14,7655,27,medium,0
3.56,7728,21,medium,0
3.97,6133,7,low,0
4.35,7651,7,medium,0
3.48,2850,4,medium,0
5.0,7099,29,medium,1
5.0,9171,23,medium,0
4.13,3993,19,medium,0
4.07,4332,8,low,0
3.64,5178,24,high,0
3.53,5339,28,medium,0
4.28,9228,20,high,0
3.71,7313,24,high,0
4.55,8328,16,high,0
3.49,9970,18,high,0
4.01,7687,22,low,0
4.17,6391,15,high,0
3.0,1063,10,medium,0
2.33,1270,18,medium,0
2.09,4778,7,low,0
2.66,4641,21,low,0
1.1,3707,31,low,0
3.86,6056,21,medium,0
3.68,8688,20,medium,0
3.81,2479,20,high,0
5.0,8948,10,high,1
5.0,8828,29,high,0
2.42,9904,9,low,0
3.79,9302,1,low,0
3.67,7691,21,medium,0
5.0,7244,30,high,1
3.87,1768,11,low,0
4.32,7274,14,high,0
5.0,8042,5,low,0
5.0,7641,6,medium,1
2.51,8131,1,high,0
2.07,5823,29,high,0
4.02,9447,13,high,0
3.04,1257,8,medium,0
4.36,7039,12,low,0
4.96,4762,11,medium,0
4.68,1598,11,high,0
3.2,1920,25,low,0
2.75,7848,13,medium,0
4.41,7409,22,medium,0
3.76,7464,30,medium,0
3.26,8784,31,low,0
4.14,5263,24,high,0
2.6,4780,12,low,0
4.82,8919,16,high,0
3.67,5561,22,high,0
2.64,2572,8,high,0
3.25,5210,10,low,0
2.22,2111,4,low,0
2.71,6189,30,low,0
5.0,8420,9,low,0
3.52,1914,23,medium,1
4.15,1290,4,medium,0
3.02,2054,30,low,0
1.78,4661,24,high,0
5.0,6729,12,low,0
3.34,5978,22,medium,0
3.72,7173,28,high,0
1.56,4841,8,high,1
3.59,9274,18,low,0
1.34,7164,16,low,0
3.67,1233,19,medium,0
2.46,3688,12,medium,0
3.85,6026,18,high,0
2.92,9266,17,low,0
2.27,6573,31,low,0
3.13,4066,31,medium,0
4.99,6455,21,medium,0
1.96,2205,29,medium,0
2.88,6550,6,low,0
4.21,1154,31,high,0
1.83,1597,26,high,0
3.03,2241,8,high,0
2.79,7902,14,low,0
2.7,7713,7,low,0
5.0,9421,12,high,0
4.78,6521,6,high,0
3.94,9030,16,high,0
3.01,2137,14,medium,0
1.29,2928,2,low,0
1.0,1192,8,low,0
1.9,2311,6,low,0
3.35,3221,26,high,0
