target,monthly_income,time_of_month,savings,guests
1,3915,21,medium,0
2,3254,10,high,0
3,5079,12,medium,0
1,4046,4,medium,0
5,8286,2,medium,0
4,6520,6,medium,0
2,2032,12,medium,0
2,1740,28,low,0
2,2982,31,medium,0
3,3459,12,medium,0
2,3672,26,medium,0
2,3718,30,medium,0
2,4792,18,low,0
4,8687,1,high,0
4,4185,13,high,0
3,9397,22,low,0
4,4503,15,high,0
3,3004,30,high,0
4,4709,26,high,0
3,3194,18,low,0
1,1377,8,low,0
3,6482,24,high,1
3,1041,18,high,0
3,9169,19,high,0
3,5199,26,medium,0
3,4898,7,low,0
3,3000,9,high,1
2,4182,15,medium,0
3,7820,17,medium,0
3,9041,2,medium,0
1,3587,26,low,0
3,9486,17,medium,0
3,1147,24,low,0
4,9466,23,high,0
3,2159,8,medium,0
3,8012,21,medium,0
2,4693,6,high,0
4,9382,1,low,0
5,8947,31,medium,0
4,8659,3,medium,0
4,1835,14,high,0
2,8548,4,low,1
4,8617,16,low,1
4,9579,16,high,0
4,7747,28,high,0
4,7043,13,high,0
4,9993,31,medium,0
2,5949,14,medium,0
2,5487,15,medium,0
3,9720,10,medium,0
3,8262,2,low,0
3,5110,13,low,0
3,8967,9,high,0
3,3313,9,low,0
4,2574,5,medium,0
2,1144,23,medium,0
3,2413,9,low,0
5,5514,3,high,0
4,5781,6,medium,0
3,4307,4,medium,0
2,7888,7,low,0
2,4104,15,low,0
4,9524,6,low,0
4,4973,16,medium,0
3,7542,21,low,0
5,7319,15,medium,0
2,9167,4,high,0
3,5624,2,high,0
3,6594,16,low,0
2,1044,7,medium,0
3,5734,3,low,1
2,7821,21,low,0
3,8627,9,medium,0
2,3949,15,low,0
5,9372,10,high,0
3,8868,29,high,0
3,9408,6,high,0
2,1632,29,low,1
4,2862,14,medium,0
2,3595,19,high,0
2,7420,15,low,0
3,7321,19,low,0
4,7655,27,medium,0
3,7728,21,medium,0
3,6133,7,low,0
4,7651,7,medium,0
3,2850,4,medium,0
5,7099,29,medium,1
5,9171,23,medium,0
4,3993,19,medium,0
4,4332,8,low,0
3,5178,24,high,0
3,5339,28,medium,0
4,9228,20,high,0
3,7313,24,high,0
4,8328,16,high,0
3,9970,18,high,0
4,7687,22,low,0
4,6391,15,high,0
2,1063,10,medium,0
1,1270,18,medium,0
2,4778,7,low,0
2,4641,21,low,0
1,3707,31,low,0
3,6056,21,medium,0
3,8688,20,medium,0
3,2479,20,high,0
5,8948,10,high,1
5,8828,29,high,0
2,9904,9,low,0
3,9302,1,low,0
3,7691,21,medium,0
5,7244,30,high,1
3,1768,11,low,0
4,7274,14,high,0
5,8042,5,low,0
5,7641,6,medium,1
2,8131,1,high,0
2,5823,29,high,0
4,9447,13,high,0
2,1257,8,medium,0
4,7039,12,low,0
4,4762,11,medium,0
4,1598,11,high,0
2,1920,25,low,0
2,7848,13,medium,0
4,7409,22,medium,0
3,7464,30,medium,0
3,8784,31,low,0
4,5263,24,high,0
2,4780,12,low,0
4,8919,16,high,0
3,5561,22,high,0
2,2572,8,high,0
3,5210,10,low,0
1,2111,4,low,0
2,6189,30,low,0
5,8420,9,low,0
3,1914,23,medium,1
3,1290,4,medium,0
2,2054,30,low,0
1,4661,24,high,0
5,6729,12,low,0
3,5978,22,medium,0
3,7173,28,high,0
1,4841,8,high,1
3,9274,18,low,0
1,7164,16,low,0
3,1233,19,medium,0
2,3688,12,medium,0
3,6026,18,high,0
2,9266,17,low,0
2,6573,31,low,0
3,4066,31,medium,0
4,6455,21,medium,0
1,2205,29,medium,0
2,6550,6,low,0
3,1154,31,high,0
1,1597,26,high,0
2,2241,8,high,0
2,7902,14,low,0
2,7713,7,low,0
5,9421,12,high,0
4,6521,6,high,0
3,9030,16,high,0
2,2137,14,medium,0
1,2928,2,low,0
1,1192,8,low,0
1,2311,6,low,0
3,3221,26,high,0
3,4482,28,low,0
4,6033,13,medium,0
1,1211,1,low,0
3,9651,5,medium,0
4,5643,25,high,0
2,8123,28,medium,0
3,3999,31,low,0
1,5631,14,medium,0
2,5995,12,medium,0
1,2026,29,medium,0
4,9758,11,high,0
4,3726,2,high,0
1,3240,24,low,0
4,5003,12,high,0
